"Timestamp","What are some things about this course that you like and are helping you learn the material?","What are some things that can be improved in this course?","What are some things about labs that you like and are helping you learn the material?","What are some things that can be improved in the labs?","What are some things about the lectures that you like and are helping you learn the material?","What are some things that can be improved in the lectures?","What are some things about the course logistics and organization that can be improved (quizzes, assignments, course website)?","Provide any additional feedback for the instructors or TAs."
"2022/02/07 1:58:01 PM MST","Piazza","The way things are worded","You doing them with us.","Time outside of lab where someone could help someone else online.","Review of materials","Information. I need more. I hate doing labs and not knowing the answer because we didn’t talk about it in lecture.","Assignments need to be worded differently. I would like a better step by step.","I need more hours from you guys or help through Piazza. I can’t always make it to campus and when I ask for help on Piazza I don’t want to be turned down"
"2022/02/07 2:02:55 PM MST","I like the slides in the class","Nothing ","When the testers take time to answer questions ","Nothing ","When the professor shows example of the code ","Nothing ","Nothing ",""
"2022/02/07 2:02:59 PM MST","The labs are really nice ","I wish all of the lectures and labs would be available on zoom, just due to current world circumstances ","Going step by step helps me understand where I may be going wrong ","Making them available on zoom, or recorded","","","",""
"2022/02/07 2:03:20 PM MST","Python","Not emailing every bloody time someone asks something on Piazza","Going over the learned material and seeing examples with people there who can answer any questions.","I really ought to start attending them.","Good coverage of material, well thought out, and includes some examples.","Boring.","Less quizzes, no-grade on labs.","No"
"2022/02/07 2:03:21 PM MST","I like figuring out the code and problem solving","Goes pretty slow","Working through promblems","I don't like the how its set up as a quiz","slow","","",""
"2022/02/07 2:03:33 PM MST","nothin","nothin","I like that we get to leave as soon as were finished with our work, and can stay later to ask questions.","I think more clear cut exlpanations would help","I like the powerpoints","I think its ok right now","I wish there was a way to see all the assignments in canvas rather than three other sites.","That is all."
"2022/02/07 2:03:50 PM MST","Office hours and Labs","Assignment direction isn't always clear, instructors need to be clearer and more willing to help directly rather than ""point in the right direction"" which doesn't help those who don't have prior coding experience.","They're great to learn the material and get a bit of help.","The TA's need to speak louder and for the entire class, it can be hard to hear them sometimes.","The lectures are more or less fine, I have no particular complaints and no particular praises.","I would like them to be completely available on zoom, I have immunocompromised family and friends and was exposed through this class early in the semester.","I hate Piazza, can we please use canvas and email?","Speak louder please, or use mics in the labs, otherwise, you're doing fine."
"2022/02/07 2:04:01 PM MST","Textbook is good.","Feedback on assignments.  ","TAs are nice","More feedback on why point were deducted from graded assignments ","Professor is knowledgeable ","","",""
"2022/02/07 2:04:02 PM MST","Materials for learning are more than just lectures. ","Lectures explain concepts more clearly. ","Concepts are very simple. ","TA doesn't always help with the quiz questions. ","Interactive lectures. ","They cover a lot of topics at once ","There are a lot of assignments, it's pretty overwhelming. Textbook has had a ton of technical issues. ",""
"2022/02/07 2:04:06 PM MST","Professor are really cool and help me to understand python as a beginner  ","So for me as a international student I am struggling for memorizing some terms it would be better to add some flash cards ","Lab is kind boring","Maybe add more creative section in lab","Everything is good","","",""
"2022/02/07 2:04:08 PM MST","Textbooks","Zoom meetings option, due dates from Gradescope or Runestone that will appear on Canvas Dashboard. ","They're in-person","Maybe sometimes make them optional","Quizzes","","Course website — I need to see all due dates on Canvas. ",""
"2022/02/07 2:04:17 PM MST","I like using Runestone, it's in depth and explains the content well. I enjoy how interactive it is.","I don't have any specific criticisms of the lectures themselves.","I do like the smaller lab sizes, along with being able to ask the TAs if we have any specific questions.","The labs are a bit slow and frankly, could be done from home. I'm not thrilled to be riding TRAX for 2 hours on Friday just to spend 50 minutes in class. It would be great if we had permission to take them from home.","I enjoy getting to review the material from the reading and introducing new topics.","N/A","Some of the UI on Runestone and Gradescope are somewhat confusing for turning in assignments, but aside from that I have no complaints.","N/A"
"2022/02/07 2:04:19 PM MST","The flash cards ","Perhaps more study guides ","They go through the material ","They can better discuss what’s happening ","How it’s organized in Canvas ","Nothing","The help hours ",""
"2022/02/07 2:04:21 PM MST","I like the format of the class, it is not overwhelming. There is help through various TA's which is nice. ","None","I like going through each lab, it makes more sense when we get to go over things one step at a time, I like that we go slow.","Sometimes I can't hear very well what is going on, but overall it's ok.","Lots of examples","none","Perhaps go over things a bit more slowly. Overall I thinks its great.","none"
"2022/02/07 2:04:32 PM MST","I enjoy how the lectures are structured","I know its impractical, but I wish we could meet more often so we could do more","I have loved labs in just about every way. I get a chance to try stuff first, and if I cant figure it out, there's somebody there to help.","I love them, so, nothing","see course structure","see course structure","I find Piazza's format very overwhelming, but that might just be a me thing",""
